,treat,species,seedlings,treeid
1849,far,psycho,0,m12.psycho
1850,far,psycho,1,m8.psycho
1851,far,psycho,0,m12.psycho
1852,far,psycho,0,m12.psycho
1853,far,psycho,0,m13.psycho
1854,far,psycho,0,r1.psycho
1855,far,psycho,0,m10.psycho
1856,far,psycho,0,m8.psycho
1857,far,psycho,0,m9.psycho
1859,far,psycho,0,m13.psycho
1860,far,psycho,0,m9.psycho
1861,far,psycho,1,r1.psycho
1862,far,psycho,0,m8.psycho
1863,far,psycho,0,m10.psycho
1864,far,psycho,0,m10.psycho
1865,far,psycho,0,m10.psycho
1867,far,psycho,0,m10.psycho
1869,far,psycho,0,m13.psycho
1870,far,psycho,0,m13.psycho
1871,far,psycho,0,m9.psycho
1874,far,psycho,0,m12.psycho
1875,far,psycho,0,r1.psycho
1876,far,psycho,0,m8.psycho
1877,far,psycho,0,m9.psycho
1879,far,psycho,0,m9.psycho
1880,far,psycho,0,m9.psycho
1881,far,psycho,0,m12.psycho
1882,far,psycho,0,m13.psycho
1883,far,psycho,0,m12.psycho
1884,far,psycho,0,m8.psycho
1885,far,psycho,0,m9.psycho
1886,far,psycho,0,m12.psycho
1887,far,psycho,0,m12.psycho
1888,far,psycho,0,m13.psycho
1889,far,psycho,0,m12.psycho
1890,far,psycho,0,m10.psycho
1891,far,psycho,0,m8.psycho
1892,far,psycho,0,m8.psycho
1893,far,psycho,0,m8.psycho
1894,far,psycho,0,m12.psycho
1895,far,psycho,0,m13.psycho
1896,far,psycho,0,m8.psycho
1897,far,psycho,0,m13.psycho
1898,far,psycho,0,m13.psycho
1899,far,psycho,0,m13.psycho
1900,far,psycho,0,m13.psycho
1902,far,psycho,0,m13.psycho
1904,far,psycho,0,m13.psycho
1905,far,psycho,0,m13.psycho
1906,far,psycho,0,m13.psycho
1907,far,psycho,0,m13.psycho
1908,far,psycho,0,m13.psycho
1909,far,psycho,0,m13.psycho
1910,far,psycho,0,m13.psycho
1911,far,psycho,0,m13.psycho
1912,far,psycho,0,m13.psycho
1913,far,psycho,0,m13.psycho
1914,far,psycho,0,m13.psycho
1915,far,psycho,0,m13.psycho
1916,far,psycho,0,m13.psycho
1918,far,psycho,0,m13.psycho
1919,far,psycho,0,m13.psycho
1924,near,psycho,1,m8.psycho
1927,near,psycho,0,m8.psycho
1928,near,psycho,0,m12.psycho
1930,near,psycho,0,m8.psycho
1931,near,psycho,0,m8.psycho
1932,near,psycho,0,m8.psycho
1933,near,psycho,0,r1.psycho
1934,near,psycho,0,r1.psycho
1935,near,psycho,0,r1.psycho
1936,near,psycho,0,m9.psycho
1937,near,psycho,0,m8.psycho
1938,near,psycho,0,r1.psycho
1939,near,psycho,0,r1.psycho
1940,near,psycho,0,m8.psycho
1942,near,psycho,0,r1.psycho
1943,near,psycho,0,r1.psycho
1956,near,psycho,0,m12.psycho
1957,near,psycho,0,m13.psycho
1958,near,psycho,0,m8.psycho
1959,near,psycho,0,m10.psycho
1960,near,psycho,0,m10.psycho
1961,near,psycho,0,m13.psycho
1962,near,psycho,0,m9.psycho
1975,near,psycho,0,m12.psycho
1976,near,psycho,0,m13.psycho
1977,near,psycho,0,m13.psycho
1978,near,psycho,0,m12.psycho
1979,near,psycho,0,m12.psycho
1980,near,psycho,0,m8.psycho
1981,near,psycho,0,m9.psycho
1982,near,psycho,0,m9.psycho
1983,near,psycho,0,m13.psycho
1984,near,psycho,0,m13.psycho
1985,near,psycho,0,m8.psycho
1986,near,psycho,0,m9.psycho
1988,near,psycho,0,m13.psycho
1989,near,psycho,0,m10.psycho
1990,near,psycho,0,r1.psycho
1991,near,psycho,0,m12.psycho
1992,near,psycho,0,m8.psycho
2000,near,psycho,0,m8.psycho
2001,near,psycho,0,m10.psycho
2002,near,psycho,0,m9.psycho
2003,near,psycho,0,r1.psycho
2004,near,psycho,0,m8.psycho
2005,near,psycho,0,m8.psycho
2006,near,psycho,0,m8.psycho
2007,near,psycho,0,m12.psycho
2008,near,psycho,0,m13.psycho
2009,near,psycho,0,m12.psycho
2010,near,psycho,1,r1.psycho
2011,near,psycho,1,m10.psycho
2013,near,psycho,0,m12.psycho
2014,near,psycho,0,m9.psycho
2015,near,psycho,0,m10.psycho
2016,near,psycho,0,r1.psycho
2114,far,psycho,0,m13.psycho
2115,far,psycho,0,m13.psycho
2116,far,psycho,0,m13.psycho
2117,far,psycho,1,m13.psycho
2118,far,psycho,0,m13.psycho
2119,far,psycho,1,m13.psycho
2120,far,psycho,0,m13.psycho
2121,far,psycho,0,m13.psycho
2122,far,psycho,0,m13.psycho
2123,far,psycho,1,m13.psycho
2124,far,psycho,1,m13.psycho
2125,far,psycho,0,m13.psycho
2126,far,psycho,1,m13.psycho
2127,far,psycho,0,m13.psycho
2129,far,psycho,0,m13.psycho
2130,far,psycho,1,m13.psycho
2131,far,psycho,0,m13.psycho
2132,far,psycho,0,m13.psycho
2133,far,psycho,0,m13.psycho
2134,far,psycho,0,m13.psycho
2135,far,psycho,0,m13.psycho
2136,far,psycho,0,m13.psycho
2137,far,psycho,0,m13.psycho
2138,far,psycho,0,m13.psycho
2141,far,psycho,0,m13.psycho
2142,far,psycho,0,m13.psycho
2143,far,psycho,0,m13.psycho
2144,far,psycho,0,m13.psycho
2146,far,psycho,0,m14.psycho
2147,far,psycho,0,m14.psycho
2150,far,psycho,0,m14.psycho
2151,far,psycho,0,m14.psycho
2152,far,psycho,0,m14.psycho
2153,far,psycho,0,m14.psycho
2154,far,psycho,0,m14.psycho
2155,far,psycho,0,m14.psycho
2156,far,psycho,0,m14.psycho
2157,far,psycho,0,m14.psycho
2158,far,psycho,0,m14.psycho
2159,far,psycho,0,m14.psycho
2160,far,psycho,0,m14.psycho
2161,far,psycho,0,m14.psycho
2162,far,psycho,0,m14.psycho
2163,far,psycho,0,m14.psycho
2165,far,psycho,0,m14.psycho
2166,far,psycho,0,m14.psycho
2167,far,psycho,0,m14.psycho
2168,far,psycho,0,m14.psycho
2169,far,psycho,1,m14.psycho
2170,far,psycho,0,m14.psycho
2171,far,psycho,0,m14.psycho
2173,far,psycho,0,m14.psycho
2176,far,psycho,0,m14.psycho
2179,far,psycho,0,m14.psycho
2180,far,psycho,0,m14.psycho
2181,far,psycho,0,m14.psycho
2182,far,psycho,0,m14.psycho
2184,far,psycho,0,m14.psycho
2185,far,psycho,0,m14.psycho
2186,far,psycho,0,m14.psycho
2187,far,psycho,0,m14.psycho
2209,near,psycho,0,r1.psycho
2210,near,psycho,0,m9.psycho
2211,near,psycho,0,m8.psycho
2212,near,psycho,0,m13.psycho
2213,near,psycho,0,m12.psycho
2214,near,psycho,0,m8.psycho
2215,near,psycho,0,r1.psycho
2216,near,psycho,0,m13.psycho
2217,near,psycho,1,m12.psycho
2219,near,psycho,0,m12.psycho
2220,near,psycho,0,m12.psycho
2221,near,psycho,1,m13.psycho
2223,near,psycho,0,m9.psycho
2227,near,psycho,0,m8.psycho
2228,near,psycho,0,m12.psycho
2229,near,psycho,0,r1.psycho
2230,near,psycho,1,m9.psycho
2239,near,psycho,1,m13.psycho
2240,near,psycho,0,m13.psycho
2241,near,psycho,0,m13.psycho
2242,near,psycho,0,m13.psycho
2243,near,psycho,0,m13.psycho
2244,near,psycho,0,m13.psycho
2245,near,psycho,0,m13.psycho
2246,near,psycho,0,m13.psycho
2248,near,psycho,0,m13.psycho
2249,near,psycho,1,m13.psycho
2250,near,psycho,0,m13.psycho
2251,near,psycho,0,m13.psycho
2252,near,psycho,0,m13.psycho
2254,near,psycho,0,m13.psycho
2258,near,psycho,0,m13.psycho
2259,near,psycho,0,m13.psycho
2262,near,psycho,1,m13.psycho
2263,near,psycho,1,m13.psycho
2264,near,psycho,0,m13.psycho
2266,near,psycho,0,m13.psycho
2267,near,psycho,0,m13.psycho
2268,near,psycho,0,m13.psycho
2271,near,psycho,0,m13.psycho
2273,near,psycho,0,m13.psycho
2274,near,psycho,0,m13.psycho
2289,near,psycho,0,m13.psycho
2293,near,psycho,0,m13.psycho
2294,near,psycho,0,m13.psycho
2295,near,psycho,0,m13.psycho
2297,near,psycho,0,m13.psycho
2298,near,psycho,1,m13.psycho
2299,near,psycho,0,m13.psycho
2300,near,psycho,0,m13.psycho
2301,near,psycho,0,m13.psycho
2302,near,psycho,0,m13.psycho
2304,near,psycho,0,m13.psycho
2305,near,psycho,1,m13.psycho
2306,near,psycho,0,m14.psycho
2307,near,psycho,1,m14.psycho
2308,near,psycho,1,m14.psycho
2310,near,psycho,0,m14.psycho
2311,near,psycho,0,m14.psycho
2312,near,psycho,1,m14.psycho
2313,near,psycho,0,m14.psycho
2314,near,psycho,0,m14.psycho
2315,near,psycho,0,m14.psycho
2317,near,psycho,1,m14.psycho
2318,near,psycho,0,m14.psycho
2319,near,psycho,0,m14.psycho
2320,near,psycho,1,m14.psycho
2322,near,psycho,0,m14.psycho
2323,near,psycho,0,m14.psycho
2324,near,psycho,0,m14.psycho
2326,near,psycho,0,m14.psycho
2328,near,psycho,0,m14.psycho
2329,near,psycho,0,m14.psycho
2331,near,psycho,0,m14.psycho
2334,near,psycho,0,m14.psycho
2336,near,psycho,0,m14.psycho
2337,near,psycho,0,m14.psycho
2338,near,psycho,0,m14.psycho
2340,near,psycho,0,m14.psycho
2341,near,psycho,0,m14.psycho
2342,near,psycho,0,m14.psycho
2345,near,psycho,0,m14.psycho
2346,near,psycho,0,m14.psycho
2347,near,psycho,0,m14.psycho
2348,near,psycho,0,m14.psycho
2349,near,psycho,0,m14.psycho
2350,near,psycho,0,m14.psycho
2351,near,psycho,0,m14.psycho
2352,near,psycho,0,m14.psycho
2353,near,psycho,0,m14.psycho
2354,near,psycho,0,m14.psycho
2355,near,psycho,0,m14.psycho
2357,near,psycho,0,m14.psycho
2360,near,psycho,0,m14.psycho
2362,near,psycho,0,m14.psycho
2364,near,psycho,0,m14.psycho
2366,near,psycho,0,m14.psycho
2368,near,psycho,0,m14.psycho
2369,near,psycho,0,m14.psycho
2370,near,psycho,0,m14.psycho
2371,near,psycho,0,m14.psycho
2372,near,psycho,0,m14.psycho
2374,near,psycho,0,m14.psycho
2375,near,psycho,0,m14.psycho
2377,near,psycho,0,m14.psycho
2378,near,psycho,1,m14.psycho
2380,near,psycho,0,m14.psycho
2381,near,psycho,0,m14.psycho
2383,near,psycho,0,m14.psycho
2384,near,psycho,0,m14.psycho
2385,near,psycho,0,m14.psycho
2387,near,psycho,0,m14.psycho
2389,near,psycho,0,m14.psycho
