,X,species,disp,island,site,fence,numalive,avgcover,avgopen,dist,numseedplant,centavgopen
1,1,aglaia,no,guam,anao,A1,9,87.75,12.25,near,10,3.128630705
2,2,aglaia,no,guam,anao,B2A,10,90.25,9.75,far,10,0.628630705
3,3,aglaia,no,guam,anao,B4B,10,90.75,9.25,far,10,0.128630705
4,4,aglaia,no,guam,anao,C0,9,94.5,5.5,near,10,-3.621369295
5,5,aglaia,no,guam,anao,C2,9,93.5,6.5,near,10,-2.621369295
6,6,aglaia,no,guam,anao,D2,10,76,24,near,10,14.87863071
7,7,aglaia,no,guam,anao,E3,10,92.5,7.5,far,10,-1.621369295
8,8,aglaia,no,guam,anao,E4,9,92,8,far,10,-1.121369295
9,9,aglaia,no,guam,nblas,A4A,10,92.5,7.5,far,10,-1.621369295
10,11,aglaia,no,guam,nblas,B4A,6,92.75,7.25,far,10,-1.871369295
11,12,aglaia,no,guam,nblas,B1,9,92,8,far,10,-1.121369295
12,13,aglaia,no,guam,nblas,D1,10,86.75,13.25,near,10,4.128630705
13,14,aglaia,no,guam,nblas,E0,7,94,6,near,10,-3.121369295
14,15,aglaia,no,guam,nblas,B0,8,94,6,near,10,-3.121369295
15,16,aglaia,no,guam,nblas,E1,5,93.75,6.25,near,10,-2.871369295
16,17,aglaia,no,guam,race,E1A,10,92.75,7.25,far,10,-1.871369295
17,18,aglaia,no,guam,race,E2A,4,92.25,7.75,near,10,-1.371369295
18,19,aglaia,no,guam,race,C1,5,92.5,7.5,far,10,-1.621369295
19,20,aglaia,no,guam,race,A1,10,87.75,12.25,far,10,3.128630705
20,21,aglaia,no,guam,race,A3A,9,93.25,6.75,near,10,-2.371369295
21,22,aglaia,no,guam,race,A4,9,92.5,7.5,far,10,-1.621369295
22,23,aglaia,no,guam,race,C4,10,92.75,7.25,near,10,-1.871369295
23,24,aglaia,no,guam,race,D3,7,93.75,6.25,near,10,-2.871369295
24,25,aglaia,no,guam,ritd,B2,10,92.25,7.75,far,10,-1.371369295
25,26,aglaia,no,guam,ritd,C1A,9,91.5,8.5,near,10,-0.621369295
