"","mist","brwe","gowe","wtgd","gtsk","mafd","gran","macr"
"pa",0.0584602243376896,8.69568998126079e-05,0.0102474147208597,0.000891118170194059,0.00260870699437824,0,0.000434784499063039,0
"pi",0.00214260249554367,0.0095044840217254,0.0234496105652292,0.000238095238095238,0.00735294117647059,0,0,0
"pr",0.00687152498916424,0.00565358357684354,0.0531974023880551,0.00103802757636281,0.00110864745011086,0.0127440507211849,0,0
"me",0.00127015250544662,0.00557705955945597,0.0152367836772795,0.000152816682228447,0,0,0,0
"ps",0.00185534358671005,0.00241545893719807,0.0265776001687289,0,0,0.0016969106483173,0,0
"ag",0.00162949176875502,0,0,0,0,0,0,0
