,island,site,trt,germ,species,seed_input
264,Saipan,LTLT,UH,0,premna,1
266,Saipan,LTLT,UH,0,premna,1
267,Saipan,LTLT,UH,0,premna,1
268,Saipan,LTLT,HA,0,premna,1
271,Saipan,LTLT,UH,0,premna,1
272,Saipan,LTLT,UH,0,premna,1
273,Saipan,LTLT,UH,0,premna,1
274,Saipan,TR1L,HA,0,premna,1
277,Saipan,TR1L,UH,0,premna,1
278,Saipan,TR1L,UH,0,premna,1
279,Saipan,TR1L,HA,0,premna,1
280,Saipan,TR1L,HA,0,premna,1
281,Saipan,TR1L,HA,0,premna,1
282,Saipan,TR1L,HA,0,premna,1
283,Saipan,TR1L,HA,0,premna,1
285,Saipan,TR1L,UH,0,premna,1
286,Saipan,TR1L,HA,0,premna,1
287,Saipan,TR1L,HA,0,premna,1
288,Saipan,TR1L,UH,0,premna,1
294,Tinian,CHLC,UH,0,premna,1
295,Tinian,CHLC,UH,0,premna,1
296,Tinian,CHLC,UH,0,premna,1
297,Tinian,CHLC,HA,0,premna,1
298,Tinian,CHLC,HA,0,premna,1
299,Tinian,JAPC,UH,0,premna,1
300,Tinian,JAPC,UH,0,premna,1
301,Tinian,JAPC,UH,0,premna,1
302,Tinian,JAPC,UH,0,premna,1
303,Tinian,JAPC,UH,0,premna,1
304,Tinian,JAPC,UH,0,premna,1
305,Tinian,JAPC,HA,0,premna,1
306,Tinian,JAPC,HA,0,premna,1
313,Tinian,JAPC,UH,0,premna,1
314,Tinian,JAPC,UH,0,premna,1
315,Tinian,JAPC,UH,0,premna,1
316,Tinian,JAPC,UH,0,premna,1
317,Tinian,JAPC,UH,0,premna,1
326,Tinian,JPCC,UH,0,premna,1
327,Tinian,JPCC,UH,0,premna,1
328,Tinian,JPCC,UH,0,premna,1
329,Tinian,JPCC,UH,0,premna,1
330,Tinian,JPCC,HA,0,premna,1
336,Tinian,JPCC,UH,0,premna,1
337,Tinian,JPCC,UH,0,premna,1
338,Tinian,JPCC,UH,0,premna,1
339,Tinian,JPCC,UH,0,premna,1
340,Tinian,JPCC,UH,0,premna,1
341,Tinian,JPCC,HA,0,premna,1
342,Tinian,JPCC,HA,0,premna,1
344,Tinian,JPCC,UH,0,premna,1
