"","Scientific","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","BodyMass.Value","taxon"
"3299","Crocidura zarudnyi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",6.71,"mammal"
"3300","Crocidura lucina",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3301","Crocidura voi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3302","Crocidura silacea",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",8,"mammal"
"3303","Crocidura raineyi",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",14.5,"mammal"
"3304","Crocidura ramona",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3305","Crocidura zimmeri",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",14.5,"mammal"
"3306","Crocidura rhoditis",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",14,"mammal"
"3307","Crocidura roosevelti",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3308","Crocidura russula",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",8.2,"mammal"
"3309","Crocidura selina",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3310","Crocidura serezkyensis",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3311","Crocidura shantungensis",50,0,10,0,0,40,0,0,0,0,"Ref_2","D1",10.42,"mammal"
"3312","Crocidura thalia",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3313","Crocidura sicula",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",6.9,"mammal"
"3314","Crocidura pullata",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3315","Crocidura smithii",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",10.35,"mammal"
"3316","Crocidura somalica",50,0,10,0,0,40,0,0,0,0,"Ref_1","ABC",11.5,"mammal"
