"","Scientific","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","BodyMass.Value","taxon"
"1","Tachyglossus aculeatus",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",3025,"mammal"
"2","Zaglossus attenboroughi",100,0,0,0,0,0,0,0,0,0,"Ref_65","ABC",8532.39,"mammal"
"3","Zaglossus bartoni",100,0,0,0,0,0,0,0,0,0,"Ref_2","D1",7180,"mammal"
"4","Zaglossus bruijni",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",10139.5,"mammal"
"5","Ornithorhynchus anatinus",80,0,0,20,0,0,0,0,0,0,"Ref_1","ABC",1484.25,"mammal"
"6","Caluromys philander",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC",229.25,"mammal"
"7","Caluromys derbianus",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC",297,"mammal"
"8","Caluromys lanatus",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC",325,"mammal"
"9","Caluromysiops irrupta",20,0,0,0,0,0,20,40,0,20,"Ref_1","ABC",250,"mammal"
"10","Glironia venusta",40,0,0,0,20,0,20,0,20,0,"Ref_1","ABC",114,"mammal"
"11","Chironectes minimus",50,0,0,30,0,0,0,0,0,20,"Ref_1","ABC",946,"mammal"
"12","Didelphis aurita",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC",1163.99,"mammal"
"13","Didelphis imperfecta",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",1260.04,"mammal"
"14","Didelphis marsupialis",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC",1091.16,"mammal"
"15","Didelphis pernigra",20,0,0,0,30,30,0,0,0,20,"Ref_2","D1",1260.04,"mammal"
"16","Didelphis virginiana",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC",2195.48,"mammal"
"17","Didelphis albiventris",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC",904,"mammal"
"18","Gracilinanus formosus",50,0,0,0,0,0,30,20,0,0,"Ref_2","D1",18.9,"mammal"
"19","Gracilinanus emiliae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC",7.6,"mammal"
"20","Gracilinanus microtarsus",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC",31,"mammal"
"21","Gracilinanus marica",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC",23.8,"mammal"
"22","Gracilinanus dryas",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC",18,"mammal"
"23","Gracilinanus aceramarcae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC",20.5,"mammal"
"24","Gracilinanus agricolai",50,0,0,0,0,0,30,20,0,0,"Ref_2","D1",18.9,"mammal"
"25","Gracilinanus agilis",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC",22,"mammal"
"26","Gracilinanus ignitus",50,0,0,0,0,0,30,20,0,0,"Ref_2","D1",18.9,"mammal"
"27","Hyladelphys kalinowskii",60,10,0,0,0,10,20,0,0,0,"Ref_3","D2",16.75,"mammal"
"28","Lestodelphys halli",0,100,0,0,0,0,0,0,0,0,"Ref_1","ABC",76,"mammal"
"29","Lutreolina crassicaudata",20,40,20,20,0,0,0,0,0,0,"Ref_1","ABC",537.3,"mammal"
"30","Marmosa murina",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",26,"mammal"
"31","Marmosa xerophila",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",46.2,"mammal"
"32","Marmosa tyleriana",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",32.4,"mammal"
"33","Marmosa rubra",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",63,"mammal"
"34","Marmosa quichua",40,10,10,0,10,0,30,0,0,0,"Ref_2","D1",38.23,"mammal"
"35","Marmosa mexicana",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",49.45,"mammal"
"36","Marmosa lepida",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",14,"mammal"
"37","Marmosa andersoni",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",47.4,"mammal"
"38","Marmosa robinsoni",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",56.67,"mammal"
"39","Marmosops handleyi",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",30.7,"mammal"
"40","Marmosops juninensis",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1",31.57,"mammal"
"41","Marmosops pinheiroi",50,0,0,0,0,0,50,0,0,0,"Ref_23","ABC",31.57,"mammal"
"42","Marmosops paulensis",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1",38.89,"mammal"
"43","Marmosops parvidens",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",15,"mammal"
"44","Marmosops noctivagus",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",21,"mammal"
"45","Marmosops neblina",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1",31.57,"mammal"
"46","Marmosops bishopi",50,0,0,0,0,0,50,0,0,0,"Ref_2","D1",19.5,"mammal"
"47","Marmosops impavidus",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",40.5,"mammal"
"48","Marmosops incanus",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",62.3,"mammal"
"49","Marmosops fuscatus",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",60,"mammal"
"50","Marmosops dorothea",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",37.5,"mammal"
"51","Marmosops cracens",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",25.5,"mammal"
"52","Marmosops invictus",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC",29.2,"mammal"
"53","Metachirus nudicaudatus",30,20,20,0,10,0,20,0,0,0,"Ref_1","ABC",375,"mammal"
"54","Micoureus demerarae",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC",75.75,"mammal"
"55","Micoureus regina",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC",118.6,"mammal"
"56","Micoureus paraguayanus",30,0,0,0,30,0,20,20,0,0,"Ref_21","ABC",112.43,"mammal"
"57","Micoureus constantiae",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC",90,"mammal"
"58","Micoureus alstoni",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC",132.3,"mammal"
"59","Micoureus phaeus",90,0,0,0,0,0,10,0,0,0,"Ref_2","D1",103.76,"mammal"
"60","Monodelphis emiliae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",40,"mammal"
"61","Monodelphis osgoodi",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",112,"mammal"
"62","Monodelphis umbristriata",20,20,0,0,0,20,20,0,20,0,"Ref_2","D1",61.54,"mammal"
"63","Monodelphis theresa",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",112,"mammal"
"64","Monodelphis sorex",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",48,"mammal"
"65","Monodelphis scalops",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",741,"mammal"
"66","Monodelphis rubida",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",45.5,"mammal"
"67","Monodelphis palliolata",20,20,0,0,0,20,20,0,20,0,"Ref_2","D1",61.54,"mammal"
"68","Monodelphis unistriata",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",55.3,"mammal"
"69","Monodelphis kunsi",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",11.3,"mammal"
"70","Monodelphis glirina",20,20,0,0,0,20,20,0,20,0,"Ref_2","D1",61.54,"mammal"
"71","Monodelphis domestica",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",71.4,"mammal"
"72","Monodelphis dimidiata",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",58,"mammal"
"73","Monodelphis brevicaudata",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",69.63,"mammal"
"74","Monodelphis americana",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",19.5,"mammal"
"75","Monodelphis adusta",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",35,"mammal"
"76","Monodelphis maraxina",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",61.57,"mammal"
"77","Monodelphis iheringi",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC",112,"mammal"
"78","Philander andersoni",30,30,20,0,10,0,10,0,0,0,"Ref_1","ABC",325,"mammal"
"79","Philander opossum",30,30,20,0,10,0,10,0,0,0,"Ref_1","ABC",585.5,"mammal"
"80","Philander mcilhennyi",30,30,20,0,10,0,10,0,0,0,"Ref_2","D1",325,"mammal"
"81","Philander frenatus",30,30,20,0,10,0,10,0,0,0,"Ref_2","D1",395.45,"mammal"
"82","Thylamys pusillus",80,0,0,0,10,0,10,0,0,0,"Ref_1","ABC",28.21,"mammal"
"83","Thylamys venustus",80,0,0,0,20,0,0,0,0,0,"Ref_54","ABC",24.41,"mammal"
"84","Thylamys tatei",80,0,0,0,20,0,0,0,0,0,"Ref_54","ABC",24.41,"mammal"
"85","Thylamys sponsorius",80,0,0,0,20,0,0,0,0,0,"Ref_1","ABC",24.41,"mammal"
"86","Thylamys velutinus",80,0,0,0,10,0,10,0,0,0,"Ref_1","ABC",20.7,"mammal"
"87","Thylamys macrurus",80,0,0,0,10,0,10,0,0,0,"Ref_1","ABC",34.43,"mammal"
"88","Thylamys karimii",80,0,0,0,20,0,0,0,0,0,"Ref_1","ABC",24.41,"mammal"
"89","Thylamys cinderella",80,0,0,0,20,0,0,0,0,0,"Ref_1","ABC",24.41,"mammal"
"90","Thylamys elegans",80,0,0,0,10,0,10,0,0,0,"Ref_1","ABC",28.9,"mammal"
"91","Thylamys pallidior",80,0,0,0,10,0,10,0,0,0,"Ref_1","ABC",14.9,"mammal"
"92","Tlacuatzin canescens",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC",47.73,"mammal"
"93","Caenolestes caniventer",70,0,0,0,10,0,10,0,0,10,"Ref_1","ABC",40,"mammal"
"94","Caenolestes condorensis",70,0,0,0,10,0,10,0,0,10,"Ref_2","D1",47.81,"mammal"
"95","Caenolestes convelatus",70,0,0,0,10,0,10,0,0,10,"Ref_1","ABC",40,"mammal"
"96","Caenolestes fuliginosus",70,0,0,0,10,0,10,0,0,10,"Ref_1","ABC",27.8,"mammal"
"97","Lestoros inca",70,0,0,0,10,0,10,0,0,10,"Ref_1","ABC",21.1,"mammal"
"98","Rhyncholestes raphanurus",80,0,0,0,0,0,0,0,0,20,"Ref_1","ABC",21,"mammal"
"99","Dromiciops gliroides",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",22.3,"mammal"
"100","Notoryctes caurinus",90,0,0,0,0,0,0,0,10,0,"Ref_1","ABC",34,"mammal"
"101","Notoryctes typhlops",90,0,0,0,0,0,0,0,10,0,"Ref_1","ABC",55,"mammal"
"102","Myrmecobius fasciatus",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",471.5,"mammal"
"103","Dasycercus cristicauda",30,70,0,0,0,0,0,0,0,0,"Ref_1","ABC",100,"mammal"
"104","Dasykaluta rosamondae",60,0,0,0,40,0,0,0,0,0,"Ref_1","ABC",28.75,"mammal"
"105","Dasyuroides byrnei",30,70,0,0,0,0,0,0,0,0,"Ref_1","ABC",109.47,"mammal"
"106","Dasyurus spartacus",80,20,0,0,0,0,0,0,0,0,"Ref_1","ABC",885.67,"mammal"
"107","Dasyurus albopunctatus",80,20,0,0,0,0,0,0,0,0,"Ref_1","ABC",637,"mammal"
"108","Dasyurus viverrinus",70,20,0,0,0,10,0,0,0,0,"Ref_1","ABC",1090,"mammal"
"109","Dasyurus geoffroii",60,20,10,0,0,10,0,0,0,0,"Ref_52","ABC",1100,"mammal"
"110","Dasyurus maculatus",30,60,10,0,0,0,0,0,0,0,"Ref_1","ABC",5500,"mammal"
"111","Dasyurus hallucatus",40,30,20,0,0,0,10,0,0,0,"Ref_1","ABC",525,"mammal"
"112","Myoictis melas",50,50,0,0,0,0,0,0,0,0,"Ref_1","ABC",200,"mammal"
"113","Myoictis wallacii",50,50,0,0,0,0,0,0,0,0,"Ref_1","ABC",200,"mammal"
"114","Neophascogale lorentzi",80,0,0,0,20,0,0,0,0,0,"Ref_1","ABC",212,"mammal"
"115","Parantechinus apicalis",70,0,0,0,0,0,0,30,0,0,"Ref_1","ABC",68.75,"mammal"
"116","Phascolosorex doriae",70,0,0,0,0,0,30,0,0,0,"Ref_2","D1",168.31,"mammal"
"117","Phascolosorex dorsalis",70,0,0,0,0,0,30,0,0,0,"Ref_2","D1",138.5,"mammal"
"118","Pseudantechinus bilarni",70,0,0,0,0,0,0,30,0,0,"Ref_1","ABC",23.05,"mammal"
"119","Pseudantechinus woolleyae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",40,"mammal"
"120","Pseudantechinus roryi",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",25.06,"mammal"
"121","Pseudantechinus ningbing",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",20,"mammal"
"122","Pseudantechinus macdonnellensis",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",32.5,"mammal"
"123","Pseudantechinus mimulus",90,0,0,0,10,0,0,0,0,0,"Ref_54","ABC",16.5,"mammal"
"124","Sarcophilus harrisii",0,0,0,0,0,100,0,0,0,0,"Ref_1","ABC",10000,"mammal"
"125","Antechinus leo",90,0,0,0,10,0,0,0,0,0,"Ref_1","ABC",74,"mammal"
"126","Antechinus subtropicus",90,0,0,0,10,0,0,0,0,0,"Ref_54","ABC",59.5,"mammal"
"127","Antechinus stuartii",90,10,0,0,0,0,0,0,0,0,"Ref_1","ABC",27.5,"mammal"
"128","Antechinus minimus",90,10,0,0,0,0,0,0,0,0,"Ref_1","ABC",53.5,"mammal"
"129","Antechinus flavipes",90,10,0,0,0,0,0,0,0,0,"Ref_1","ABC",45,"mammal"
"130","Antechinus bellus",90,10,0,0,0,0,0,0,0,0,"Ref_1","ABC",44.5,"mammal"
"131","Antechinus agilis",80,0,0,0,10,0,10,0,0,0,"Ref_70","ABC",22.13,"mammal"
"132","Antechinus adustus",80,0,0,0,10,10,0,0,0,0,"Ref_70","ABC",36,"mammal"
"133","Antechinus swainsonii",90,10,0,0,0,0,0,0,0,0,"Ref_1","ABC",53,"mammal"
"134","Antechinus godmani",90,10,0,0,0,0,0,0,0,0,"Ref_1","ABC",76.5,"mammal"
"135","Micromurexia habbema",70,10,20,0,0,0,0,0,0,0,"Ref_3","D2",46.97,"mammal"
"136","Murexechinus melanurus",90,10,0,0,0,0,0,0,0,0,"Ref_1","ABC",38.02,"mammal"
"137","Murexia longicaudata",60,20,20,0,0,0,0,0,0,0,"Ref_1","ABC",335.83,"mammal"
"138","Paramurexia rothschildi",60,20,20,0,0,0,0,0,0,0,"Ref_1","ABC",53.77,"mammal"
"139","Phascomurexia naso",90,10,0,0,0,0,0,0,0,0,"Ref_1","ABC",52.62,"mammal"
"140","Phascogale calura",30,40,30,0,0,0,0,0,0,0,"Ref_1","ABC",51.5,"mammal"
"141","Phascogale tapoatafa",30,40,30,0,0,0,0,0,0,0,"Ref_1","ABC",193.5,"mammal"
"142","Antechinomys laniger",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",25.57,"mammal"
"143","Ningaui yvonnae",80,0,0,0,20,0,0,0,0,0,"Ref_1","ABC",7,"mammal"
"144","Ningaui ridei",80,0,0,0,20,0,0,0,0,0,"Ref_1","ABC",8.5,"mammal"
"145","Ningaui timealeyi",80,0,0,0,20,0,0,0,0,0,"Ref_1","ABC",5.7,"mammal"
"146","Sminthopsis griseoventer",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",17.5,"mammal"
"147","Sminthopsis virginiae",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",35.25,"mammal"
"148","Sminthopsis psammophila",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",33.5,"mammal"
"149","Sminthopsis ooldea",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",11,"mammal"
"150","Sminthopsis murina",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",17,"mammal"
"151","Sminthopsis macroura",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",20,"mammal"
"152","Sminthopsis longicaudata",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",18,"mammal"
"153","Sminthopsis leucopus",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",26,"mammal"
"154","Sminthopsis douglasi",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",55,"mammal"
"155","Sminthopsis hirtipes",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",15,"mammal"
"156","Sminthopsis youngsoni",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",10.1,"mammal"
"157","Sminthopsis fuliginosus",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",19.89,"mammal"
"158","Sminthopsis dolichura",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",13.6,"mammal"
"159","Sminthopsis crassicaudata",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",15,"mammal"
"160","Sminthopsis butleri",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",25,"mammal"
"161","Sminthopsis boullangerensis",80,10,10,0,0,0,0,0,0,0,"Ref_2","D1",19.89,"mammal"
"162","Sminthopsis bindi",80,10,10,0,0,0,0,0,0,0,"Ref_2","D1",17.5,"mammal"
"163","Sminthopsis archeri",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",16,"mammal"
"164","Sminthopsis aitkeni",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",22.5,"mammal"
"165","Sminthopsis granulipes",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",25,"mammal"
"166","Sminthopsis gilberti",80,10,10,0,0,0,0,0,0,0,"Ref_1","ABC",19.5,"mammal"
"167","Planigale gilesi",40,30,30,0,0,0,0,0,0,0,"Ref_1","ABC",9.2,"mammal"
"168","Planigale tenuirostris",40,30,30,0,0,0,0,0,0,0,"Ref_1","ABC",6.05,"mammal"
"169","Planigale novaeguineae",40,30,30,0,0,0,0,0,0,0,"Ref_1","ABC",14.9,"mammal"
"170","Planigale ingrami",40,30,30,0,0,0,0,0,0,0,"Ref_1","ABC",4.25,"mammal"
"171","Planigale maculata",40,30,30,0,0,0,0,0,0,0,"Ref_1","ABC",11,"mammal"
"172","Macrotis lagotis",70,0,0,0,20,0,0,0,0,10,"Ref_1","ABC",1350,"mammal"
"173","Macrotis leucura",70,0,0,0,20,0,0,0,0,10,"Ref_1","ABC",354,"mammal"
"174","Isoodon auratus",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",425,"mammal"
"175","Isoodon macrourus",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",1600,"mammal"
"176","Isoodon obesulus",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC",775,"mammal"
"177","Perameles nasuta",70,10,10,0,0,0,0,0,0,10,"Ref_1","ABC",975,"mammal"
"178","Perameles gunnii",70,10,10,0,0,0,0,0,0,10,"Ref_1","ABC",870,"mammal"
"179","Perameles eremiana",70,10,10,0,0,0,0,0,0,10,"Ref_1","ABC",500,"mammal"
"180","Perameles bougainville",70,10,10,0,0,0,0,0,0,10,"Ref_1","ABC",226,"mammal"
"181","Peroryctes raffrayana",60,0,0,0,0,0,40,0,0,0,"Ref_1","ABC",838.5,"mammal"
"182","Peroryctes broadbenti",60,0,0,0,0,0,40,0,0,0,"Ref_1","ABC",4800,"mammal"
"183","Echymipera clara",60,0,0,0,0,0,40,0,0,0,"Ref_1","ABC",1236.5,"mammal"
"184","Echymipera davidi",60,0,0,0,0,0,40,0,0,0,"Ref_1","ABC",950,"mammal"
"185","Echymipera echinista",60,0,0,0,0,0,40,0,0,0,"Ref_1","ABC",1000,"mammal"
"186","Echymipera kalubu",60,0,0,0,0,0,40,0,0,0,"Ref_1","ABC",782.17,"mammal"
"187","Echymipera rufescens",60,0,0,0,0,0,40,0,0,0,"Ref_1","ABC",1100,"mammal"
"188","Microperoryctes longicauda",60,0,0,0,10,0,0,0,0,30,"Ref_1","ABC",538,"mammal"
"189","Microperoryctes murina",60,0,0,0,10,0,0,0,0,30,"Ref_1","ABC",817.52,"mammal"
"190","Microperoryctes papuensis",60,0,0,0,10,0,0,0,0,30,"Ref_1","ABC",158,"mammal"
"191","Rhynchomeles prattorum",60,0,0,0,10,0,0,0,0,30,"Ref_1","ABC",817.52,"mammal"
"192","Phascolarctos cinereus",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",10250,"mammal"
"193","Lasiorhinus krefftii",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",2900,"mammal"
"194","Lasiorhinus latifrons",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",25500,"mammal"
"195","Vombatus ursinus",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",26000,"mammal"
"196","Burramys parvus",40,0,0,0,0,0,30,0,30,0,"Ref_1","ABC",41.5,"mammal"
"197","Cercartetus nanus",20,0,10,0,0,0,20,20,10,20,"Ref_1","ABC",24,"mammal"
"198","Cercartetus caudatus",20,0,10,0,0,0,20,20,10,20,"Ref_1","ABC",25,"mammal"
"199","Cercartetus concinnus",20,0,10,0,0,0,20,20,10,20,"Ref_1","ABC",13,"mammal"
"200","Cercartetus lepidus",20,0,10,0,0,0,20,20,10,20,"Ref_1","ABC",7,"mammal"
"201","Ailurops melanotis",0,0,0,0,0,0,0,0,0,100,"Ref_2","D1",10000,"mammal"
"202","Ailurops ursinus",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",10000,"mammal"
"203","Phalanger lullulae",10,0,0,0,10,0,40,0,0,40,"Ref_1","ABC",1632.5,"mammal"
"204","Phalanger vestitus",10,0,0,0,10,0,40,0,0,40,"Ref_1","ABC",1850,"mammal"
"205","Phalanger sericeus",10,0,0,0,10,0,40,0,0,40,"Ref_1","ABC",2003,"mammal"
"206","Phalanger rothschildi",10,0,0,0,10,0,40,0,0,40,"Ref_1","ABC",1365,"mammal"
"207","Phalanger ornatus",10,0,0,0,10,0,40,0,0,40,"Ref_1","ABC",1787.5,"mammal"
"208","Phalanger orientalis",10,0,0,0,10,0,40,0,0,40,"Ref_1","ABC",2168.75,"mammal"
"209","Phalanger mimicus",10,0,0,0,10,0,40,0,0,40,"Ref_2","D1",1846.67,"mammal"
"210","Phalanger matabiru",10,0,0,0,10,0,40,0,0,40,"Ref_2","D1",1846.67,"mammal"
"211","Phalanger intercastellanus",10,0,0,0,10,0,40,0,0,40,"Ref_2","D1",1747.5,"mammal"
"212","Phalanger gymnotis",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC",2597.89,"mammal"
"213","Phalanger carmelitae",10,0,0,0,10,0,40,0,0,40,"Ref_1","ABC",2047.5,"mammal"
"214","Phalanger alexandrae",10,0,0,0,10,0,40,0,0,40,"Ref_2","D1",1846.67,"mammal"
"215","Phalanger matanim",10,0,0,0,10,0,40,0,0,40,"Ref_1","ABC",1550,"mammal"
"216","Spilocuscus rufoniger",0,0,0,0,0,0,40,0,0,60,"Ref_1","ABC",6000,"mammal"
"217","Spilocuscus kraemeri",0,0,0,0,0,0,40,0,0,60,"Ref_2","D1",5535.39,"mammal"
"218","Spilocuscus maculatus",0,0,0,0,0,0,40,0,0,60,"Ref_1","ABC",5106.75,"mammal"
"219","Spilocuscus papuensis",0,0,0,0,0,0,40,0,0,60,"Ref_2","D1",5535.39,"mammal"
"220","Strigocuscus celebensis",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC",500,"mammal"
"221","Strigocuscus pelengensis",10,0,0,0,10,0,40,0,0,40,"Ref_1","ABC",500,"mammal"
"222","Trichosurus arnhemensis",0,0,0,0,0,0,20,0,20,60,"Ref_1","ABC",1300,"mammal"
"223","Trichosurus caninus",0,0,0,0,0,0,20,0,20,60,"Ref_1","ABC",3500,"mammal"
"224","Trichosurus cunninghami",0,0,0,0,0,0,0,0,0,100,"Ref_7","ABC",2293.08,"mammal"
"225","Trichosurus johnstonii",0,0,0,0,0,0,20,0,0,80,"Ref_1","ABC",2293.08,"mammal"
"226","Trichosurus vulpecula",0,0,0,0,0,0,20,0,20,60,"Ref_1","ABC",2650,"mammal"
"227","Wyulda squamicaudata",20,0,0,0,10,0,20,0,0,50,"Ref_1","ABC",1675,"mammal"
"228","Hemibelideus lemuroides",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",952.5,"mammal"
"229","Petauroides volans",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC",1300,"mammal"
"230","Petropseudes dahli",0,0,0,0,0,0,30,0,0,70,"Ref_1","ABC",1640,"mammal"
"231","Pseudocheirus peregrinus",0,0,0,0,0,0,20,10,0,70,"Ref_1","ABC",900,"mammal"
"232","Pseudochirulus caroli",0,0,0,0,0,0,20,0,0,80,"Ref_1","ABC",456.02,"mammal"
"233","Pseudochirulus schlegeli",0,0,0,0,0,0,20,0,0,80,"Ref_1","ABC",255.44,"mammal"
"234","Pseudochirulus mayeri",0,0,0,0,0,0,20,0,0,80,"Ref_1","ABC",151.75,"mammal"
"235","Pseudochirulus larvatus",0,0,0,0,0,0,20,0,0,80,"Ref_100","ABC",448.3,"mammal"
"236","Pseudochirulus herbertensis",0,0,0,0,0,0,20,0,0,80,"Ref_1","ABC",1098.34,"mammal"
"237","Pseudochirulus forbesi",0,0,0,0,0,0,20,0,0,80,"Ref_1","ABC",639.16,"mammal"
"238","Pseudochirulus cinereus",0,0,0,0,0,0,20,0,0,80,"Ref_2","D1",977.48,"mammal"
"239","Pseudochirulus canescens",0,0,0,0,0,0,20,0,0,80,"Ref_1","ABC",300,"mammal"
"240","Pseudochirops albertisii",0,0,0,0,0,0,10,0,0,90,"Ref_1","ABC",784.85,"mammal"
"241","Pseudochirops archeri",0,0,0,0,0,0,10,0,0,90,"Ref_1","ABC",1091.5,"mammal"
"242","Pseudochirops corinnae",0,0,0,0,0,0,10,0,0,90,"Ref_1","ABC",1123,"mammal"
"243","Pseudochirops coronatus",0,0,0,0,0,0,10,0,0,90,"Ref_2","D1",1500,"mammal"
"244","Pseudochirops cupreus",0,0,0,0,0,0,10,0,0,90,"Ref_1","ABC",1724.5,"mammal"
"245","Dactylopsila tatei",80,0,0,0,0,0,10,0,0,10,"Ref_1","ABC",252,"mammal"
"246","Dactylopsila trivirgata",80,0,0,0,0,0,10,0,0,10,"Ref_1","ABC",413.53,"mammal"
"247","Dactylopsila palpator",80,0,0,0,0,0,10,0,0,10,"Ref_1","ABC",398,"mammal"
"248","Dactylopsila megalura",80,0,0,0,0,0,10,0,0,10,"Ref_1","ABC",277.74,"mammal"
"249","Gymnobelideus leadbeateri",50,0,0,0,0,0,0,50,0,0,"Ref_1","ABC",127,"mammal"
"250","Petaurus abidi",40,0,0,0,10,0,0,30,20,0,"Ref_1","ABC",278,"mammal"
"251","Petaurus breviceps",40,0,0,0,10,0,0,30,20,0,"Ref_1","ABC",106.28,"mammal"
"252","Petaurus norfolcensis",40,0,0,0,10,0,0,30,20,0,"Ref_1","ABC",230,"mammal"
"253","Petaurus australis",40,0,0,0,10,0,0,30,20,0,"Ref_1","ABC",575,"mammal"
"254","Petaurus gracilis",40,0,0,0,10,0,0,30,20,0,"Ref_1","ABC",353,"mammal"
"255","Petaurus biacensis",40,0,0,0,10,0,0,30,20,0,"Ref_2","D1",90.98,"mammal"
"256","Tarsipes rostratus",0,0,0,0,0,0,0,100,0,0,"Ref_1","ABC",9,"mammal"
